m11,m12,m13,m14,m15,m16,m21,m22,m23,m24,m25,m26,m31,m32,m33,m41,m42,m43,m51,m61,m62
0,-27.666,0.61939,-42.992,15.326,-0.61939,0,-14.746,5.2503,41.781,-27.035,-5.2503,0,0,0,0,0,0,25,0,0
0,-26.595,6.7817,-40.935,14.34,-6.7817,0,-12.398,11.31,36.899,-24.501,-11.31,0,0,0,0,0,0,25,0,0
0,-33.754,7.1315,-67.508,33.754,-7.1315,0,-19.608,10.906,39.215,-19.608,-10.906,0,0,0,0,0,0,25,0,0
0,-14.34,6.7817,-40.935,26.595,-6.7817,0,-24.501,11.31,36.899,-12.398,-11.31,0,0,0,0,0,0,25,0,0
0,-14.746,-5.2503,-41.781,27.035,5.2503,0,-27.666,-0.61939,42.992,-15.326,0.61939,0,0,0,0,0,0,25,0,0
0,-12.398,-11.31,-36.899,24.501,11.31,0,-26.595,-6.7817,40.935,-14.34,6.7817,0,0,0,0,0,0,25,0,0
0,-19.608,-10.906,-39.215,19.608,10.906,0,-33.754,-7.1315,67.508,-33.754,7.1315,0,0,0,0,0,0,25,0,0
0,-24.501,-11.31,-36.899,12.398,11.31,0,-14.34,-6.7817,40.935,-26.595,6.7817,0,0,0,0,0,0,25,0,0
0,-27.666,0.61939,-42.992,15.326,-0.61939,0,-14.746,5.2503,41.781,-27.035,-5.2503,0,0,0,0,0,0,25,0,0
0,-26.595,6.7817,-40.935,14.34,-6.7817,0,-12.398,11.31,36.899,-24.501,-11.31,0,0,0,0,0,0,25,0,0
0,-33.754,7.1315,-67.508,33.754,-7.1315,0,-19.608,10.906,39.215,-19.608,-10.906,0,0,0,0,0,0,25,0,0
0,-14.34,6.7817,-40.935,26.595,-6.7817,0,-24.501,11.31,36.899,-12.398,-11.31,0,0,0,0,0,0,25,0,0
0,-14.746,-5.2503,-41.781,27.035,5.2503,0,-27.666,-0.61939,42.992,-15.326,0.61939,0,0,0,0,0,0,25,0,0
0,-12.398,-11.31,-36.899,24.501,11.31,0,-26.595,-6.7817,40.935,-14.34,6.7817,0,0,0,0,0,0,25,0,0
0,-19.608,-10.906,-39.215,19.608,10.906,0,-33.754,-7.1315,67.508,-33.754,7.1315,0,0,0,0,0,0,25,0,0
0,-24.501,-11.31,-36.899,12.398,11.31,0,-14.34,-6.7817,40.935,-26.595,6.7817,0,0,0,0,0,0,25,0,0
0,-27.476,-2.9396,-42.628,15.152,2.9396,0,-15.152,2.9396,42.628,-27.476,-2.9396,0,0,0,0,0,0,25,0,0
